Strekningsnavn;Intervallstart;Reell reisetid (sek);Normalreisetid (sek);Forsinkelse (sek);Antall biler;Lengde (m);Stipulert;Hastighet (km/t)
Klett - Studentersamfunnet;14.01.2014 03:40;728;840;0;0;12322;;60.93
Klett - Studentersamfunnet;14.01.2014 03:45;794;840;0;0;12322;;55.87
Klett - Studentersamfunnet;14.01.2014 03:50;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;14.01.2014 03:55;564;840;0;2;12322;;78.65
Klett - Studentersamfunnet;14.01.2014 04:00;711;840;0;1;12322;;62.39
Klett - Studentersamfunnet;14.01.2014 04:05;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;14.01.2014 04:10;697;840;0;1;12322;;63.64
Klett - Studentersamfunnet;14.01.2014 04:15;624;840;0;2;12322;;71.09
Klett - Studentersamfunnet;14.01.2014 04:20;597;840;0;3;12322;;74.30
Klett - Studentersamfunnet;14.01.2014 04:25;632;840;0;1;12322;;70.19
Klett - Studentersamfunnet;14.01.2014 04:30;721;840;0;0;12322;;61.52
Klett - Studentersamfunnet;14.01.2014 04:35;757;840;0;0;12322;;58.60
Klett - Studentersamfunnet;14.01.2014 04:40;647;840;0;1;12322;;68.56
Klett - Studentersamfunnet;14.01.2014 04:45;597;840;0;3;12322;;74.30
Klett - Studentersamfunnet;14.01.2014 04:50;608;840;0;4;12322;;72.96
Klett - Studentersamfunnet;14.01.2014 04:55;585;840;0;2;12322;;75.83
Klett - Studentersamfunnet;14.01.2014 05:00;648;840;0;2;12322;;68.46
Klett - Studentersamfunnet;14.01.2014 05:05;596;840;0;2;12322;;74.43
Klett - Studentersamfunnet;14.01.2014 05:10;614;840;0;2;12322;;72.25
Klett - Studentersamfunnet;14.01.2014 05:15;672;840;0;0;12322;;66.01
Klett - Studentersamfunnet;14.01.2014 05:20;650;840;0;2;12322;;68.24
Klett - Studentersamfunnet;14.01.2014 05:25;708;840;0;3;12322;;62.65
Klett - Studentersamfunnet;14.01.2014 05:30;577;840;0;3;12322;;76.88
Klett - Studentersamfunnet;14.01.2014 05:35;602;840;0;9;12322;;73.69
Klett - Studentersamfunnet;14.01.2014 05:40;619;840;0;5;12322;;71.66
Klett - Studentersamfunnet;14.01.2014 05:45;578;840;0;10;12322;;76.75
Klett - Studentersamfunnet;14.01.2014 05:50;622;840;0;11;12322;;71.32
Klett - Studentersamfunnet;14.01.2014 05:55;618;840;0;16;12322;;71.78
Klett - Studentersamfunnet;14.01.2014 06:00;632;840;0;13;12322;;70.19
Klett - Studentersamfunnet;14.01.2014 06:05;609;840;0;12;12322;;72.84
Klett - Studentersamfunnet;14.01.2014 06:10;634;840;0;17;12322;;69.97
Klett - Studentersamfunnet;14.01.2014 06:15;622;840;0;22;12322;;71.32
Klett - Studentersamfunnet;14.01.2014 06:20;637;840;0;30;12322;;69.64
Klett - Studentersamfunnet;14.01.2014 06:25;644;840;0;32;12322;;68.88
Klett - Studentersamfunnet;14.01.2014 06:30;681;840;0;47;12322;;65.14
Klett - Studentersamfunnet;14.01.2014 06:35;685;840;0;44;12322;;64.76
Klett - Studentersamfunnet;14.01.2014 06:40;676;840;0;42;12322;;65.62
Klett - Studentersamfunnet;14.01.2014 06:45;748;840;0;47;12322;;59.30
Klett - Studentersamfunnet;14.01.2014 06:50;707;840;0;35;12322;;62.74
Klett - Studentersamfunnet;14.01.2014 06:55;748;840;0;35;12322;;59.30
Klett - Studentersamfunnet;14.01.2014 07:00;740;840;0;41;12322;;59.94
Klett - Studentersamfunnet;14.01.2014 07:05;773;840;0;33;12322;;57.39
Klett - Studentersamfunnet;14.01.2014 07:10;793;840;0;23;12322;;55.94
Klett - Studentersamfunnet;14.01.2014 07:15;841;840;1;10;12322;ja;52.75
Klett - Studentersamfunnet;14.01.2014 07:20;1102;840;262;8;12322;ja;40.25
Klett - Studentersamfunnet;14.01.2014 07:25;1087;840;247;24;12322;ja;40.81
Klett - Studentersamfunnet;14.01.2014 07:30;1178;840;338;30;12322;;37.66
Klett - Studentersamfunnet;14.01.2014 07:35;1336;840;496;42;12322;;33.20
Klett - Studentersamfunnet;14.01.2014 07:40;1527;840;687;38;12322;;29.05
Klett - Studentersamfunnet;14.01.2014 07:45;1600;840;760;31;12322;;27.72
Klett - Studentersamfunnet;14.01.2014 07:50;1942;840;1102;34;12322;;22.84
Klett - Studentersamfunnet;14.01.2014 07:55;1966;840;1126;33;12322;;22.56
Klett - Studentersamfunnet;14.01.2014 08:00;1940;840;1100;35;12322;;22.87
Klett - Studentersamfunnet;14.01.2014 08:05;1907;840;1067;31;12322;;23.26
Klett - Studentersamfunnet;14.01.2014 08:10;1681;840;841;26;12322;;26.39
Klett - Studentersamfunnet;14.01.2014 08:15;1710;840;870;31;12322;;25.94
Klett - Studentersamfunnet;14.01.2014 08:20;1684;840;844;25;12322;;26.34
Klett - Studentersamfunnet;14.01.2014 08:25;1440;840;600;34;12322;;30.81
Klett - Studentersamfunnet;14.01.2014 08:30;1237;840;397;23;12322;;35.86
Klett - Studentersamfunnet;14.01.2014 08:35;1179;840;339;26;12322;;37.62
Klett - Studentersamfunnet;14.01.2014 08:40;1163;840;323;24;12322;;38.14
Klett - Studentersamfunnet;14.01.2014 08:45;1253;840;413;23;12322;;35.40
Klett - Studentersamfunnet;14.01.2014 08:50;1242;840;402;26;12322;;35.72
Klett - Studentersamfunnet;14.01.2014 08:55;1252;840;412;24;12322;;35.43
Klett - Studentersamfunnet;14.01.2014 09:00;1027;840;187;28;12322;;43.19
Klett - Studentersamfunnet;14.01.2014 09:05;791;840;0;26;12322;;56.08
Klett - Studentersamfunnet;14.01.2014 09:10;734;840;0;15;12322;;60.43
Klett - Studentersamfunnet;14.01.2014 09:15;727;840;0;18;12322;;61.02
Klett - Studentersamfunnet;14.01.2014 09:20;708;840;0;22;12322;;62.65
Klett - Studentersamfunnet;14.01.2014 09:25;712;840;0;21;12322;;62.30
Klett - Studentersamfunnet;14.01.2014 09:30;695;840;0;23;12322;;63.83
Klett - Studentersamfunnet;14.01.2014 09:35;742;840;0;24;12322;;59.78
Klett - Studentersamfunnet;14.01.2014 09:40;753;840;0;26;12322;;58.91
Klett - Studentersamfunnet;14.01.2014 09:45;780;840;0;20;12322;;56.87
Klett - Studentersamfunnet;14.01.2014 09:50;820;840;0;19;12322;;54.10
Klett - Studentersamfunnet;14.01.2014 09:55;775;840;0;16;12322;;57.24
Klett - Studentersamfunnet;14.01.2014 10:00;723;840;0;25;12322;;61.35
Klett - Studentersamfunnet;14.01.2014 10:05;754;840;0;24;12322;;58.83
Klett - Studentersamfunnet;14.01.2014 10:10;704;840;0;18;12322;;63.01
Klett - Studentersamfunnet;14.01.2014 10:15;743;840;0;15;12322;;59.70
Klett - Studentersamfunnet;14.01.2014 10:20;768;840;0;21;12322;;57.76
Klett - Studentersamfunnet;14.01.2014 10:25;743;840;0;17;12322;;59.70
Klett - Studentersamfunnet;14.01.2014 10:30;768;840;0;25;12322;;57.76
Klett - Studentersamfunnet;14.01.2014 10:35;722;840;0;25;12322;;61.44
Klett - Studentersamfunnet;14.01.2014 10:40;705;840;0;18;12322;;62.92
Klett - Studentersamfunnet;14.01.2014 10:45;743;840;0;20;12322;;59.70
Klett - Studentersamfunnet;14.01.2014 10:50;739;840;0;17;12322;;60.03
Klett - Studentersamfunnet;14.01.2014 10:55;722;840;0;19;12322;;61.44
Klett - Studentersamfunnet;14.01.2014 11:00;696;840;0;17;12322;;63.73
Klett - Studentersamfunnet;14.01.2014 11:05;707;840;0;18;12322;;62.74
Klett - Studentersamfunnet;14.01.2014 11:10;698;840;0;21;12322;;63.55
Klett - Studentersamfunnet;14.01.2014 11:15;665;840;0;20;12322;;66.71
Klett - Studentersamfunnet;14.01.2014 11:20;707;840;0;17;12322;;62.74
Klett - Studentersamfunnet;14.01.2014 11:25;734;840;0;20;12322;;60.43
Klett - Studentersamfunnet;14.01.2014 11:30;714;840;0;21;12322;;62.13
Klett - Studentersamfunnet;14.01.2014 11:35;709;840;0;28;12322;;62.57
Klett - Studentersamfunnet;14.01.2014 11:40;747;840;0;20;12322;;59.38
Klett - Studentersamfunnet;14.01.2014 11:45;778;840;0;16;12322;;57.02
Klett - Studentersamfunnet;14.01.2014 11:50;736;840;0;25;12322;;60.27
Klett - Studentersamfunnet;14.01.2014 11:55;756;840;0;13;12322;;58.68
Klett - Studentersamfunnet;14.01.2014 12:00;777;840;0;20;12322;;57.09
Klett - Studentersamfunnet;14.01.2014 12:05;790;840;0;13;12322;;56.15
Klett - Studentersamfunnet;14.01.2014 12:10;713;840;0;16;12322;;62.21
Klett - Studentersamfunnet;14.01.2014 12:15;709;840;0;16;12322;;62.57
Klett - Studentersamfunnet;14.01.2014 12:20;737;840;0;18;12322;;60.19
Klett - Studentersamfunnet;14.01.2014 12:25;739;840;0;20;12322;;60.03
Klett - Studentersamfunnet;14.01.2014 12:30;721;840;0;21;12322;;61.52
Klett - Studentersamfunnet;14.01.2014 12:35;728;840;0;16;12322;;60.93
Klett - Studentersamfunnet;14.01.2014 12:40;701;840;0;24;12322;;63.28
Klett - Studentersamfunnet;14.01.2014 12:45;733;840;0;19;12322;;60.52
Klett - Studentersamfunnet;14.01.2014 12:50;721;840;0;23;12322;;61.52
Klett - Studentersamfunnet;14.01.2014 12:55;720;840;0;13;12322;;61.61
Klett - Studentersamfunnet;14.01.2014 13:00;688;840;0;20;12322;;64.48
Klett - Studentersamfunnet;14.01.2014 13:05;709;840;0;18;12322;;62.57
Klett - Studentersamfunnet;14.01.2014 13:10;725;840;0;18;12322;;61.19
Klett - Studentersamfunnet;14.01.2014 13:15;702;840;0;12;12322;;63.19
Klett - Studentersamfunnet;14.01.2014 13:20;736;840;0;22;12322;;60.27
Klett - Studentersamfunnet;14.01.2014 13:25;734;840;0;15;12322;;60.43
Klett - Studentersamfunnet;14.01.2014 13:30;739;840;0;17;12322;;60.03
Klett - Studentersamfunnet;14.01.2014 13:35;741;840;0;21;12322;;59.86
Klett - Studentersamfunnet;14.01.2014 13:40;769;840;0;20;12322;;57.68
Klett - Studentersamfunnet;14.01.2014 13:45;730;840;0;23;12322;;60.77
Klett - Studentersamfunnet;14.01.2014 13:50;757;840;0;23;12322;;58.60
Klett - Studentersamfunnet;14.01.2014 13:55;729;840;0;25;12322;;60.85
Klett - Studentersamfunnet;14.01.2014 14:00;776;840;0;17;12322;;57.16
Klett - Studentersamfunnet;14.01.2014 14:05;719;840;0;21;12322;;61.70
Klett - Studentersamfunnet;14.01.2014 14:10;789;840;0;14;12322;;56.22
Klett - Studentersamfunnet;14.01.2014 14:15;783;840;0;22;12322;;56.65
Klett - Studentersamfunnet;14.01.2014 14:20;720;840;0;19;12322;;61.61
Klett - Studentersamfunnet;14.01.2014 14:25;748;840;0;19;12322;;59.30
Klett - Studentersamfunnet;14.01.2014 14:30;713;840;0;15;12322;;62.21
Klett - Studentersamfunnet;14.01.2014 14:35;733;840;0;17;12322;;60.52
Klett - Studentersamfunnet;14.01.2014 14:40;704;840;0;15;12322;;63.01
Klett - Studentersamfunnet;14.01.2014 14:45;721;840;0;20;12322;;61.52
Klett - Studentersamfunnet;14.01.2014 14:50;717;840;0;19;12322;;61.87
Klett - Studentersamfunnet;14.01.2014 14:55;730;840;0;17;12322;;60.77
Klett - Studentersamfunnet;14.01.2014 15:00;703;840;0;10;12322;;63.10
Klett - Studentersamfunnet;14.01.2014 15:05;783;840;0;17;12322;;56.65
Klett - Studentersamfunnet;14.01.2014 15:10;777;840;0;21;12322;;57.09
Klett - Studentersamfunnet;14.01.2014 15:15;755;840;0;24;12322;;58.75
Klett - Studentersamfunnet;14.01.2014 15:20;785;840;0;23;12322;;56.51
Klett - Studentersamfunnet;14.01.2014 15:25;744;840;0;23;12322;;59.62
Klett - Studentersamfunnet;14.01.2014 15:30;767;840;0;32;12322;;57.83
Klett - Studentersamfunnet;14.01.2014 15:35;771;840;0;19;12322;;57.53
Klett - Studentersamfunnet;14.01.2014 15:40;821;840;0;22;12322;;54.03
Klett - Studentersamfunnet;14.01.2014 15:45;779;840;0;24;12322;;56.94
Klett - Studentersamfunnet;14.01.2014 15:50;766;840;0;19;12322;;57.91
Klett - Studentersamfunnet;14.01.2014 15:55;778;840;0;23;12322;;57.02
Klett - Studentersamfunnet;14.01.2014 16:00;764;840;0;25;12322;;58.06
Klett - Studentersamfunnet;14.01.2014 16:05;757;840;0;16;12322;;58.60
Klett - Studentersamfunnet;14.01.2014 16:10;829;840;0;13;12322;;53.51
Klett - Studentersamfunnet;14.01.2014 16:15;774;840;0;26;12322;;57.31
Klett - Studentersamfunnet;14.01.2014 16:20;772;840;0;20;12322;;57.46
Klett - Studentersamfunnet;14.01.2014 16:25;764;840;0;15;12322;;58.06
Klett - Studentersamfunnet;14.01.2014 16:30;746;840;0;22;12322;;59.46
Klett - Studentersamfunnet;14.01.2014 16:35;710;840;0;17;12322;;62.48
Klett - Studentersamfunnet;14.01.2014 16:40;713;840;0;18;12322;;62.21
Klett - Studentersamfunnet;14.01.2014 16:45;738;840;0;20;12322;;60.11
Klett - Studentersamfunnet;14.01.2014 16:50;723;840;0;16;12322;;61.35
Klett - Studentersamfunnet;14.01.2014 16:55;684;840;0;16;12322;;64.85
Klett - Studentersamfunnet;14.01.2014 17:00;734;840;0;12;12322;;60.43
Klett - Studentersamfunnet;14.01.2014 17:05;703;840;0;17;12322;;63.10
Klett - Studentersamfunnet;14.01.2014 17:10;717;840;0;9;12322;;61.87
Klett - Studentersamfunnet;14.01.2014 17:15;767;840;0;24;12322;;57.83
Klett - Studentersamfunnet;14.01.2014 17:20;743;840;0;20;12322;;59.70
Klett - Studentersamfunnet;14.01.2014 17:25;733;840;0;23;12322;;60.52
Klett - Studentersamfunnet;14.01.2014 17:30;711;840;0;17;12322;;62.39
Klett - Studentersamfunnet;14.01.2014 17:35;732;840;0;22;12322;;60.60
Klett - Studentersamfunnet;14.01.2014 17:40;685;840;0;18;12322;;64.76
Klett - Studentersamfunnet;14.01.2014 17:45;730;840;0;21;12322;;60.77
Klett - Studentersamfunnet;14.01.2014 17:50;742;840;0;18;12322;;59.78
Klett - Studentersamfunnet;14.01.2014 17:55;692;840;0;20;12322;;64.10
Klett - Studentersamfunnet;14.01.2014 18:00;721;840;0;18;12322;;61.52
Klett - Studentersamfunnet;14.01.2014 18:05;708;840;0;13;12322;;62.65
Klett - Studentersamfunnet;14.01.2014 18:10;702;840;0;18;12322;;63.19
Klett - Studentersamfunnet;14.01.2014 18:15;673;840;0;16;12322;;65.91
Klett - Studentersamfunnet;14.01.2014 18:20;651;840;0;13;12322;;68.14
Klett - Studentersamfunnet;14.01.2014 18:25;716;840;0;13;12322;;61.95
Klett - Studentersamfunnet;14.01.2014 18:30;711;840;0;16;12322;;62.39
Klett - Studentersamfunnet;14.01.2014 18:35;691;840;0;17;12322;;64.20
Klett - Studentersamfunnet;14.01.2014 18:40;672;840;0;14;12322;;66.01
Klett - Studentersamfunnet;14.01.2014 18:45;670;840;0;15;12322;;66.21
Klett - Studentersamfunnet;14.01.2014 18:50;714;840;0;19;12322;;62.13
Klett - Studentersamfunnet;14.01.2014 18:55;700;840;0;16;12322;;63.37
Klett - Studentersamfunnet;14.01.2014 19:00;700;840;0;15;12322;;63.37
Klett - Studentersamfunnet;14.01.2014 19:05;698;840;0;17;12322;;63.55
Klett - Studentersamfunnet;14.01.2014 19:10;657;840;0;15;12322;;67.52
Klett - Studentersamfunnet;14.01.2014 19:15;700;840;0;10;12322;;63.37
Klett - Studentersamfunnet;14.01.2014 19:20;689;840;0;13;12322;;64.38
Klett - Studentersamfunnet;14.01.2014 19:25;661;840;0;15;12322;;67.11
Klett - Studentersamfunnet;14.01.2014 19:30;678;840;0;7;12322;;65.43
Klett - Studentersamfunnet;14.01.2014 19:35;684;840;0;12;12322;;64.85
Klett - Studentersamfunnet;14.01.2014 19:40;632;840;0;7;12322;;70.19
Klett - Studentersamfunnet;14.01.2014 19:45;663;840;0;14;12322;;66.91
Klett - Studentersamfunnet;14.01.2014 19:50;662;840;0;11;12322;;67.01
Klett - Studentersamfunnet;14.01.2014 19:55;694;840;0;10;12322;;63.92
Klett - Studentersamfunnet;14.01.2014 20:00;680;840;0;11;12322;;65.23
Klett - Studentersamfunnet;14.01.2014 20:05;680;840;0;11;12322;;65.23
Klett - Studentersamfunnet;14.01.2014 20:10;664;840;0;7;12322;;66.81
Klett - Studentersamfunnet;14.01.2014 20:15;713;840;0;13;12322;;62.21
Klett - Studentersamfunnet;14.01.2014 20:20;676;840;0;9;12322;;65.62
Klett - Studentersamfunnet;14.01.2014 20:25;640;840;0;12;12322;;69.31
Klett - Studentersamfunnet;14.01.2014 20:30;686;840;0;8;12322;;64.66
Klett - Studentersamfunnet;14.01.2014 20:35;689;840;0;5;12322;;64.38
Klett - Studentersamfunnet;14.01.2014 20:40;651;840;0;5;12322;;68.14
Klett - Studentersamfunnet;14.01.2014 20:45;636;840;0;7;12322;;69.75
Klett - Studentersamfunnet;14.01.2014 20:50;667;840;0;12;12322;;66.51
Klett - Studentersamfunnet;14.01.2014 20:55;691;840;0;5;12322;;64.20
Klett - Studentersamfunnet;14.01.2014 21:00;747;840;0;6;12322;;59.38
Klett - Studentersamfunnet;14.01.2014 21:05;686;840;0;9;12322;;64.66
Klett - Studentersamfunnet;14.01.2014 21:10;681;840;0;6;12322;;65.14
Klett - Studentersamfunnet;14.01.2014 21:15;670;840;0;12;12322;;66.21
Klett - Studentersamfunnet;14.01.2014 21:20;658;840;0;11;12322;;67.42
Klett - Studentersamfunnet;14.01.2014 21:25;680;840;0;13;12322;;65.23
Klett - Studentersamfunnet;14.01.2014 21:30;633;840;0;5;12322;;70.08
Klett - Studentersamfunnet;14.01.2014 21:35;658;840;0;9;12322;;67.42
Klett - Studentersamfunnet;14.01.2014 21:40;673;840;0;8;12322;;65.91
Klett - Studentersamfunnet;14.01.2014 21:45;643;840;0;5;12322;;68.99
Klett - Studentersamfunnet;14.01.2014 21:50;664;840;0;5;12322;;66.81
Klett - Studentersamfunnet;14.01.2014 21:55;678;840;0;9;12322;;65.43
Klett - Studentersamfunnet;14.01.2014 22:00;652;840;0;7;12322;;68.04
Klett - Studentersamfunnet;14.01.2014 22:05;591;840;0;5;12322;;75.06
Klett - Studentersamfunnet;14.01.2014 22:10;646;840;0;9;12322;;68.67
Klett - Studentersamfunnet;14.01.2014 22:15;637;840;0;9;12322;;69.64
Klett - Studentersamfunnet;14.01.2014 22:20;661;840;0;5;12322;;67.11
Klett - Studentersamfunnet;14.01.2014 22:25;664;840;0;6;12322;;66.81
Klett - Studentersamfunnet;14.01.2014 22:30;642;840;0;5;12322;;69.10
Klett - Studentersamfunnet;14.01.2014 22:35;659;840;0;7;12322;;67.31
Klett - Studentersamfunnet;14.01.2014 22:40;667;840;0;4;12322;;66.51
Klett - Studentersamfunnet;14.01.2014 22:45;665;840;0;4;12322;;66.71
Klett - Studentersamfunnet;14.01.2014 22:50;671;840;0;5;12322;;66.11
Klett - Studentersamfunnet;14.01.2014 22:55;667;840;0;4;12322;;66.51
Klett - Studentersamfunnet;14.01.2014 23:00;686;840;0;5;12322;;64.66
Klett - Studentersamfunnet;14.01.2014 23:05;664;840;0;3;12322;;66.81
Klett - Studentersamfunnet;14.01.2014 23:10;629;840;0;5;12322;;70.52
Klett - Studentersamfunnet;14.01.2014 23:15;659;840;0;2;12322;;67.31
Klett - Studentersamfunnet;14.01.2014 23:20;630;840;0;5;12322;;70.41
Klett - Studentersamfunnet;14.01.2014 23:25;649;840;0;3;12322;;68.35
Klett - Studentersamfunnet;14.01.2014 23:30;715;840;0;2;12322;;62.04
Klett - Studentersamfunnet;14.01.2014 23:35;653;840;0;4;12322;;67.93
Klett - Studentersamfunnet;14.01.2014 23:40;714;840;0;2;12322;;62.13
Klett - Studentersamfunnet;14.01.2014 23:45;608;840;0;3;12322;;72.96
Klett - Studentersamfunnet;14.01.2014 23:50;628;840;0;4;12322;;70.64
Klett - Studentersamfunnet;14.01.2014 23:55;561;840;0;1;12322;;79.07
Klett - Studentersamfunnet;15.01.2014 00:00;717;840;0;1;12322;;61.87
Klett - Studentersamfunnet;15.01.2014 00:05;690;840;0;1;12322;;64.29
Klett - Studentersamfunnet;15.01.2014 00:10;624;840;0;3;12322;;71.09
Klett - Studentersamfunnet;15.01.2014 00:15;636;840;0;2;12322;;69.75
Klett - Studentersamfunnet;15.01.2014 00:20;672;840;0;1;12322;;66.01
Klett - Studentersamfunnet;15.01.2014 00:25;705;840;0;0;12322;;62.92
Klett - Studentersamfunnet;15.01.2014 00:30;735;840;0;0;12322;;60.35
Klett - Studentersamfunnet;15.01.2014 00:35;584;840;0;2;12322;;75.96
Klett - Studentersamfunnet;15.01.2014 00:40;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;15.01.2014 00:45;566;840;0;2;12322;;78.37
Klett - Studentersamfunnet;15.01.2014 00:50;614;840;0;1;12322;;72.25
Klett - Studentersamfunnet;15.01.2014 00:55;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;15.01.2014 01:00;677;840;0;0;12322;;65.52
Klett - Studentersamfunnet;15.01.2014 01:05;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;15.01.2014 01:10;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;15.01.2014 01:15;757;840;0;0;12322;;58.60
Klett - Studentersamfunnet;15.01.2014 01:20;527;840;0;2;12322;;84.17
Klett - Studentersamfunnet;15.01.2014 01:25;683;840;0;2;12322;;64.95
Klett - Studentersamfunnet;15.01.2014 01:30;801;840;0;1;12322;ja;55.38
Klett - Studentersamfunnet;15.01.2014 01:35;736;840;0;1;12322;;60.27
Klett - Studentersamfunnet;15.01.2014 01:40;708;840;0;0;12322;;62.65
Klett - Studentersamfunnet;15.01.2014 01:45;587;840;0;1;12322;;75.57
Klett - Studentersamfunnet;15.01.2014 01:50;685;840;0;1;12322;;64.76
Klett - Studentersamfunnet;15.01.2014 01:55;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;15.01.2014 02:00;579;840;0;1;12322;;76.61
Klett - Studentersamfunnet;15.01.2014 02:05;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;15.01.2014 02:10;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;15.01.2014 02:15;671;840;0;0;12322;;66.11
Klett - Studentersamfunnet;15.01.2014 02:20;749;840;0;0;12322;;59.22
Klett - Studentersamfunnet;15.01.2014 02:25;651;840;0;1;12322;;68.14
Klett - Studentersamfunnet;15.01.2014 02:30;678;840;0;1;12322;;65.43
Klett - Studentersamfunnet;15.01.2014 02:35;584;840;0;1;12322;;75.96
Klett - Studentersamfunnet;15.01.2014 02:40;725;840;0;1;12322;;61.19
Klett - Studentersamfunnet;15.01.2014 02:45;672;840;0;0;12322;;66.01
Klett - Studentersamfunnet;15.01.2014 02:50;574;840;0;1;12322;;77.28
Klett - Studentersamfunnet;15.01.2014 02:55;722;840;0;1;12322;;61.44
Klett - Studentersamfunnet;15.01.2014 03:00;629;840;0;1;12322;;70.52
Klett - Studentersamfunnet;15.01.2014 03:05;643;840;0;3;12322;;68.99
Klett - Studentersamfunnet;15.01.2014 03:10;742;840;0;1;12322;;59.78
Klett - Studentersamfunnet;15.01.2014 03:15;753;840;0;0;12322;;58.91
Klett - Studentersamfunnet;15.01.2014 03:20;642;840;0;1;12322;;69.10
Klett - Studentersamfunnet;15.01.2014 03:25;721;840;0;0;12322;;61.52
Klett - Studentersamfunnet;15.01.2014 03:30;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;15.01.2014 03:35;500;840;0;1;12322;;88.72
Klett - Studentersamfunnet;15.01.2014 03:40;584;840;0;1;12322;;75.96
Klett - Studentersamfunnet;15.01.2014 03:45;760;840;0;2;12322;;58.37
Klett - Studentersamfunnet;15.01.2014 03:50;679;840;0;0;12322;;65.33
Klett - Studentersamfunnet;15.01.2014 03:55;840;840;0;0;12322;;52.81
Klett - Studentersamfunnet;15.01.2014 04:00;646;840;0;2;12322;;68.67
Klett - Studentersamfunnet;15.01.2014 04:05;682;840;0;1;12322;;65.04
Klett - Studentersamfunnet;15.01.2014 04:10;583;840;0;3;12322;;76.09
Klett - Studentersamfunnet;15.01.2014 04:15;686;840;0;1;12322;;64.66
Klett - Studentersamfunnet;15.01.2014 04:20;618;840;0;2;12322;;71.78
Klett - Studentersamfunnet;15.01.2014 04:25;726;840;0;2;12322;;61.10
Klett - Studentersamfunnet;15.01.2014 04:30;730;840;0;1;12322;;60.77
Klett - Studentersamfunnet;15.01.2014 04:35;749;840;0;1;12322;;59.22
Klett - Studentersamfunnet;15.01.2014 04:40;599;840;0;2;12322;;74.06
Klett - Studentersamfunnet;15.01.2014 04:45;617;840;0;2;12322;;71.89
Klett - Studentersamfunnet;15.01.2014 04:50;730;840;0;1;12322;;60.77
Klett - Studentersamfunnet;15.01.2014 04:55;618;840;0;2;12322;;71.78
Klett - Studentersamfunnet;15.01.2014 05:00;515;840;0;5;12322;;86.13
Klett - Studentersamfunnet;15.01.2014 05:05;600;840;0;2;12322;;73.93
Klett - Studentersamfunnet;15.01.2014 05:10;717;840;0;4;12322;;61.87
Klett - Studentersamfunnet;15.01.2014 05:15;585;840;0;3;12322;;75.83
Klett - Studentersamfunnet;15.01.2014 05:20;576;840;0;3;12322;;77.01
Klett - Studentersamfunnet;15.01.2014 05:25;717;840;0;3;12322;;61.87
Klett - Studentersamfunnet;15.01.2014 05:30;710;840;0;5;12322;;62.48
Klett - Studentersamfunnet;15.01.2014 05:35;580;840;0;8;12322;;76.48
Klett - Studentersamfunnet;15.01.2014 05:40;616;840;0;5;12322;;72.01
Klett - Studentersamfunnet;15.01.2014 05:45;610;840;0;7;12322;;72.72
Klett - Studentersamfunnet;15.01.2014 05:50;634;840;0;7;12322;;69.97
Klett - Studentersamfunnet;15.01.2014 05:55;626;840;0;12;12322;;70.86
Klett - Studentersamfunnet;15.01.2014 06:00;609;840;0;9;12322;;72.84
Klett - Studentersamfunnet;15.01.2014 06:05;630;840;0;11;12322;;70.41
Klett - Studentersamfunnet;15.01.2014 06:10;637;840;0;20;12322;;69.64
Klett - Studentersamfunnet;15.01.2014 06:15;625;840;0;27;12322;;70.97
Klett - Studentersamfunnet;15.01.2014 06:20;625;840;0;27;12322;;70.97
Klett - Studentersamfunnet;15.01.2014 06:25;665;840;0;34;12322;;66.71
Klett - Studentersamfunnet;15.01.2014 06:30;687;840;0;44;12322;;64.57
Klett - Studentersamfunnet;15.01.2014 06:35;688;840;0;42;12322;;64.48
Klett - Studentersamfunnet;15.01.2014 06:40;703;840;0;37;12322;;63.10
Klett - Studentersamfunnet;15.01.2014 06:45;763;840;0;49;12322;;58.14
Klett - Studentersamfunnet;15.01.2014 06:50;790;840;0;43;12322;;56.15
Klett - Studentersamfunnet;15.01.2014 06:55;715;840;0;36;12322;;62.04
Klett - Studentersamfunnet;15.01.2014 07:00;707;840;0;34;12322;;62.74
Klett - Studentersamfunnet;15.01.2014 07:05;754;840;0;38;12322;;58.83
Klett - Studentersamfunnet;15.01.2014 07:10;755;840;0;33;12322;;58.75
Klett - Studentersamfunnet;15.01.2014 07:15;788;840;0;36;12322;;56.29
Klett - Studentersamfunnet;15.01.2014 07:20;823;840;0;37;12322;;53.90
Klett - Studentersamfunnet;15.01.2014 07:25;867;840;27;42;12322;;51.16
Klett - Studentersamfunnet;15.01.2014 07:30;920;840;80;53;12322;;48.22
Klett - Studentersamfunnet;15.01.2014 07:35;973;840;133;44;12322;;45.59
Klett - Studentersamfunnet;15.01.2014 07:40;1106;840;266;34;12322;;40.11
Klett - Studentersamfunnet;15.01.2014 07:45;1211;840;371;36;12322;;36.63
